Date of occurrence,Sea area of occurrence,State Reporting,Competent authority,Casualty Report Nr.,Occurrence severity,Latitude,Longitude,Third party/other damage,Time (LT) of occurrence,Lives lost Occurrence-Total,People Injured Occurrence-Total,Port of accident,Investigation Status,Directive 2009/18,National location,Missing people Occurrence - Total,Loss / damage to ship or equipment,Did the ship sink?,Pollution (bunkers),Pollution (cargo),Place on board,Ship operation,Poll. quantity/bunker,Poll. quantity/cargo,Ship’s routeing,Voyage segment,Cargo damage,IMO number,Name of ship,Ship / craft type,Port of departure,Port of destination,Occurrence with ship(s),Deviation (CE),Occurrence with person(s),Release of pollutants in the air,Lat,Lon
2018-02-05,High sea - Within EEZ,Portugal,Portugal - GAMA,464/2018,Serious,40°58.07' N,8°52.07' W,No,07:40,0.0,0.0,,Not Investigated,Yes,,,Material damage,No,No,Unknown,Engine department - Engine room,Normal service - In passage - Transitional mode,0.0,,Recommended route,Departure,Unknown,,,Cargo ship - Solid Cargo - Container Ship,PORTUGAL - Leixoes,PORTUGAL - Caniçal; Madeira,Loss of control - Loss of propulsion power,,,No,40.96783333333333,-8.867833333333333
2016-02-11,Territorial sea,Portugal,Portugal - GAMA,717/2016,Serious,41°0' N,9°18' W,No,00:05,0.0,0.0,,Not Investigated,Yes,Portugal - Aveiro,,Material damage,No,No,No,Engine department - Engine room,Unknown,0.0,0.0,Unknown,Unknown,No,,,Fishing vessel - Dredger,PORTUGAL - Aveiro,PORTUGAL - Aveiro,Loss of control - Loss of propulsion power,,,No,41.0,-9.3
2017-05-23,High sea - Within EEZ,Portugal,Portugal - GAMA,2296/2017,Less Serious,40°38.21' N,9°2.08' W,No,00:14,0.0,1.0,,Not Investigated,Yes,Portugal - Peniche,,,,,,Ship - Deck - Boat deck,Fishing - Shooting/hauling fishing gear,,,No routeing system,Mid-water,,,,Fishing vessel - Liner,PORTUGAL - Peniche,PORTUGAL - Peniche,,Body movement without any physical stress (generally leading to an external injury) - Uncoordinated movements; spurious or untimely actions,Accident,,40.636833333333335,-9.034666666666666
2016-01-22,Territorial sea,Portugal,Portugal - GAMA,716/2016,Serious,41°34.06' N,9°5.22' W,No,10:40,0.0,0.0,,Not Investigated,Yes,Portugal - Viana do Castelo,,Material damage,No,No,No,Ship - Deck - Freeboard deck,Fishing - Fishing,0.0,0.0,No routeing system,Mid-water,No,,,Fishing vessel - Gillnetter,PORTUGAL - Viana do Castelo,PORTUGAL - Viana do Castelo,Collision - With other ship,,,No,41.56766666666667,-9.087
2016-01-22,Territorial sea,Portugal,Portugal - GAMA,716/2016,Serious,41°34.06' N,9°5.22' W,No,10:40,0.0,0.0,,Not Investigated,Yes,Portugal - Viana do Castelo,,,No,Unknown,Unknown,Ship - Unknown,Unknown,,,Unknown,Unknown,Unknown,,,Cargo ship - Liquid Cargo - Liquified gas tanker - LPG - Type 3G,Unknown,Unknown,Collision - With other ship,,,No,41.56766666666667,-9.087
2013-09-14,Territorial sea,Portugal,Portugal - GAMA,1383/2013,Very serious,32°38.582' N,16°54.275' W,No,16:15,1.0,0.0,PORTUGAL - Funchal; Madeira,Not Investigated,Yes,Portugal - Funchal,,,,,,Bridge - Other space,Other,,,,Mid-water,,,,Fishing vessel - Trawler,PORTUGAL - Zona Franca da Madeira,PORTUGAL - Zona Franca da Madeira,,Deviation due to electrical problems; explosion; fire - Electrical problem - leading to direct contact,Accid. not rel. to ship oper.,,32.643033333333335,-16.904583333333335
2016-05-27,Territorial sea,Portugal,Portugal - GAMA,2298/2016,Very serious,41°2.02' N,8°54.85' W,No,01:00,1.0,0.0,,Finished,Yes,Portugal - Leixões,,No damage,,,,Ship - Deck - Boat deck,Fishing - Towing fishing gear,,,No routeing system,Mid-water,No,,ROMILDA PAULA,Fishing vessel - Liner,PORTUGAL - Matosinhos,PORTUGAL - Matosinhos,,Slipping - Stumbling and falling - Fall of persons - Fall overboard of person,Accident,,41.03366666666667,-8.914166666666667
2017-03-02,Territorial sea,Portugal,Portugal - GAMA,1101/2017,Less Serious,40°10' N,9°0' W,No,17:16,0.0,1.0,,Not Investigated,Yes,Portugal - Figueira da Foz,,,,,,Ship - Deck - Boat deck,Fishing - Fishing,,,Unknown,Mid-water,,,,Fishing vessel - Gillnetter,PORTUGAL - Figueira da Foz,PORTUGAL - Figueira da Foz,,Slipping - Stumbling and falling - Fall of persons - Slipping - Stumbling and falling - Fall of person - on the same level,Accident,,40.166666666666664,-9.0
2014-03-25,Territorial sea,Portugal,Portugal - GAMA,879/2014,Serious,40°38.43' N,8°47.3' W,No,09:15,0.0,0.0,PORTUGAL - Aveiro,Not Investigated,Yes,Portugal - Aveiro,,Material damage,No,No,No,Ship - Propeller/rudder/thruster,Normal service - Under pilotage,0.0,0.0,Recommended route,Arrival,No,,,Cargo ship - Solid Cargo - General Cargo,SPAIN - Ceuta,PORTUGAL - Aveiro,Loss of control - Loss of directional control,,,,40.6405,-8.788333333333334
2016-08-18,Territorial sea,Portugal,Portugal - GAMA,3466/2016,Less Serious,39°19.854' N,9°24.876' W,No,19:00,0.0,1.0,,Not Investigated,Yes,Portugal - Peniche,0.0,,,,,Ship - Deck - Boat deck,Fishing - Fishing,,,Unknown,Mid-water,,,,Fishing vessel - Liner,PORTUGAL - Peniche,PORTUGAL - Peniche,,Slipping - Stumbling and falling - Fall of persons - Slipping - Stumbling and falling - Fall of person - on the same level,Accident,,39.3309,-9.4146
2014-04-08,Territorial sea,Portugal,Portugal - GAMA,987/2014,Very serious,36°58.177' N,7°51.976' W,No,03:00,0.0,0.0,PORTUGAL - Olhao,Not Investigated,Yes,Portugal - Olhão,,Material damage,Yes,Yes,,,Normal service - In passage - Displacement mode,1.5,,No routeing system,Transit,,,,Fishing vessel - Trawler - Stern,SPAIN - Isla Cristina,PORTUGAL - Quarteira,Contact - Shore object,,,No,36.96961666666667,-7.866266666666666
2013-01-16,Territorial sea,Portugal,Portugal - GAMA,806/2014,Very serious,40°0' N,9°0' W,No,13:25,1.0,0.0,,Finished,Yes,Portugal - Figueira da Foz,,Material damage,No,No,No,Ship - Deck - Poop deck,Fishing - Shooting/hauling fishing gear,0.0,0.0,No routeing system,Mid-water,Yes,,NEPTUNO,Fishing vessel - Trawler - Stern,PORTUGAL - Aveiro,PORTUGAL - Figueira da Foz,Damage / loss of equipment,,,No,40.0,-9.0
2016-05-18,Territorial sea,Portugal,Portugal - GAMA,2291/2016,Less Serious,40°37.618' N,8°47.542' W,No,04:20,0.0,1.0,,Not Investigated,Yes,Portugal - Aveiro,,,,,,Ship - Deck - Boat deck,Fishing - Fishing,,,Unknown,Unknown,,,,Fishing vessel - Liner,PORTUGAL - Aveiro,PORTUGAL - Aveiro,,Loss of control (total or partial) of machine; means of transport or handling equipment; handheld tool; object; animal - Loss of control (total or partial) - of means of transport or handling equipment; (motorised or not),Accident,,40.62696666666667,-8.792366666666666
2015-12-03,Territorial sea,Portugal,Portugal - GAMA,2024/001349,Very serious,41°44.03' N,9°0.15' W,No,07:38,1.0,0.0,,Finished,Yes,Portugal - Viana do Castelo,,No damage,No,,,Ship - Deck - Boat deck,Fishing - Fishing,,,No routeing system,Mid-water,No,,VASQUES CALAFATE,Fishing vessel - Gillnetter,PORTUGAL - Viana do Castelo,PORTUGAL - Viana do Castelo,,Slipping - Stumbling and falling - Fall of persons - Fall overboard of person,Accident,,41.73383333333334,-9.0025
2013-03-28,High sea,Portugal,Portugal - GAMA,1386/2013,Less Serious,41°9.974' N,9°7.718' W,No,19:55,0.0,0.0,,Not Investigated,Yes,Portugal,,Material damage,No,No,No,Engine department - Engine room,Normal service - In passage - Transitional mode,0.0,0.0,No routeing system,Transit,No,,,Cargo ship - Solid Cargo - General Cargo,SPAIN - Garrucha,NETHERLANDS - Rotterdam,Loss of control - Loss of propulsion power,,,No,41.16623333333333,-9.128633333333333
2013-05-28,Territorial sea,Portugal,Portugal - GAMA,1451/2013,Serious,38°33.556' N,28°26.891' W,No,14:00,0.0,1.0,PORTUGAL - Vila do Porto,Not Investigated,Yes,Portugal,,,,,,Ship - Stairs/ladders,Fishing - Fishing,,,,Mid-water,,,,Fishing vessel - Multipurpose - Other multipurpose,PORTUGAL - Vila do Porto,PORTUGAL - Vila do Porto,,Slipping - Stumbling and falling - Fall of persons - Fall of person - to a lower level,Accident,,38.559266666666666,-28.448183333333333
2017-12-06,Territorial sea,Portugal,Portugal - GAMA,4764/2017,Less Serious,37°43.22' N,9°9.35' W,No,22:04,0.0,0.0,,Not Investigated,Yes,Portugal - Sines,,Material damage,No,No,No,Ship - Over side,Normal service - In passage - Transitional mode,0.0,0.0,No routeing system,Arrival,No,,,Fishing vessel - Gillnetter,PORTUGAL - Sines,PORTUGAL - Sines,Collision - With other ship,,,No,37.720333333333336,-9.155833333333334
2017-12-06,Territorial sea,Portugal,Portugal - GAMA,4764/2017,Less Serious,37°43.22' N,9°9.35' W,No,22:04,0.0,0.0,,Not Investigated,Yes,Portugal - Sines,,Material damage,No,No,No,Ship - Over side,Sailing - Beam reaching,0.0,0.0,No routeing system,Transit,No,,,Recreational craft - Sailboat (sail only),PORTUGAL - Cascais,,Collision - With other ship,,,No,37.720333333333336,-9.155833333333334
2013-10-31,Territorial sea,Portugal,Portugal - GAMA,48/2014,Serious,41°5.081' N,8°46.442' W,No,08:00,0.0,0.0,PORTUGAL - Matosinhos,Not Investigated,Yes,Portugal,,No damage,No,No,No,Engine department - Engine room,Fishing - Shooting/hauling fishing gear,0.0,0.0,No routeing system,Mid-water,Unknown,,,Fishing vessel - Trawler - Stern,PORTUGAL - Matosinhos,PORTUGAL - Matosinhos,Loss of control - Loss of propulsion power,,,Unknown,41.08468333333333,-8.774033333333334
