Date of occurrence,Sea area of occurrence,State Reporting,Competent authority,Casualty Report Nr.,Occurrence severity,Latitude,Longitude,Third party/other damage,Time (LT) of occurrence,Lives lost Occurrence-Total,People Injured Occurrence-Total,Port of accident,Investigation Status,Directive 2009/18,National location,Missing people Occurrence - Total,Loss / damage to ship or equipment,Did the ship sink?,Pollution (bunkers),Pollution (cargo),Place on board,Ship operation,Poll. quantity/bunker,Poll. quantity/cargo,Ship’s routeing,Voyage segment,Cargo damage,IMO number,Name of ship,Ship / craft type,Port of departure,Port of destination,Occurrence with ship(s),Deviation (CE),Occurrence with person(s),Release of pollutants in the air,Lat,Lon,Lat_original,Lon_original,Teatro_Maritimo
2016-01-18,Territorial sea,Portugal,Portugal - GAMA,522/2016,Less Serious,35°30' N,28°32' W,No,07:40,0.0,0.0,,Not Investigated,Yes,Portugal - Horta,,No damage,No,No,No,Engine department - Engine room,Normal service - In passage - Transitional mode,0.0,0.0,Recommended track,Arrival,No,,,Passenger ship - Passenger and Ro-Ro cargo - Domestic - Class A,PORTUGAL - Horta,PORTUGAL - Madalena,Loss of control - Loss of propulsion power,,,No,35.5,-28.533333333333335,35.5,-28.533333333333335,Açores
2018-02-05,High sea - Within EEZ,Portugal,Portugal - GAMA,464/2018,Serious,40°58.07' N,8°52.07' W,No,07:40,0.0,0.0,,Not Investigated,Yes,,,Material damage,No,No,Unknown,Engine department - Engine room,Normal service - In passage - Transitional mode,0.0,,Recommended route,Departure,Unknown,,,Cargo ship - Solid Cargo - Container Ship,PORTUGAL - Leixoes,PORTUGAL - Caniçal; Madeira,Loss of control - Loss of propulsion power,,,No,40.96783333333333,-8.867833333333333,40.96783333333333,-8.867833333333333,Continente
2016-10-05,Territorial sea,Portugal,Portugal - GAMA,3182/2017,Less Serious,40°40.5' N,8°3.5' W,No,00:16,0.0,1.0,,Not Investigated,Yes,Portugal - Aveiro,,,,,,Ship - Deck - Boat deck,Fishing - Shooting/hauling fishing gear,,,No routeing system,Mid-water,,,,Fishing vessel - Gillnetter,PORTUGAL - Aveiro,PORTUGAL - Aveiro,,Body movement without any physical stress (generally leading to an external injury) - Being caught or carried away; by something or by momentum,Accident,,40.645,-8.772,40.675,-8.058333333333334,Continente
2016-02-11,Territorial sea,Portugal,Portugal - GAMA,717/2016,Serious,41°0' N,9°18' W,No,00:05,0.0,0.0,,Not Investigated,Yes,Portugal - Aveiro,,Material damage,No,No,No,Engine department - Engine room,Unknown,0.0,0.0,Unknown,Unknown,No,,,Fishing vessel - Dredger,PORTUGAL - Aveiro,PORTUGAL - Aveiro,Loss of control - Loss of propulsion power,,,No,41.0,-9.3,41.0,-9.3,Continente
2017-05-23,High sea - Within EEZ,Portugal,Portugal - GAMA,2296/2017,Less Serious,40°38.21' N,9°2.08' W,No,00:14,0.0,1.0,,Not Investigated,Yes,Portugal - Peniche,,,,,,Ship - Deck - Boat deck,Fishing - Shooting/hauling fishing gear,,,No routeing system,Mid-water,,,,Fishing vessel - Liner,PORTUGAL - Peniche,PORTUGAL - Peniche,,Body movement without any physical stress (generally leading to an external injury) - Uncoordinated movements; spurious or untimely actions,Accident,,40.636833333333335,-9.034666666666666,40.636833333333335,-9.034666666666666,Continente
2016-01-22,Territorial sea,Portugal,Portugal - GAMA,716/2016,Serious,41°34.06' N,9°5.22' W,No,10:40,0.0,0.0,,Not Investigated,Yes,Portugal - Viana do Castelo,,Material damage,No,No,No,Ship - Deck - Freeboard deck,Fishing - Fishing,0.0,0.0,No routeing system,Mid-water,No,,,Fishing vessel - Gillnetter,PORTUGAL - Viana do Castelo,PORTUGAL - Viana do Castelo,Collision - With other ship,,,No,41.56766666666667,-9.087,41.56766666666667,-9.087,Continente
2016-01-22,Territorial sea,Portugal,Portugal - GAMA,716/2016,Serious,41°34.06' N,9°5.22' W,No,10:40,0.0,0.0,,Not Investigated,Yes,Portugal - Viana do Castelo,,,No,Unknown,Unknown,Ship - Unknown,Unknown,,,Unknown,Unknown,Unknown,,,Cargo ship - Liquid Cargo - Liquified gas tanker - LPG - Type 3G,Unknown,Unknown,Collision - With other ship,,,No,41.56766666666667,-9.087,41.56766666666667,-9.087,Continente
2013-09-14,Territorial sea,Portugal,Portugal - GAMA,1383/2013,Very serious,32°38.582' N,16°54.275' W,No,16:15,1.0,0.0,PORTUGAL - Funchal; Madeira,Not Investigated,Yes,Portugal - Funchal,,,,,,Bridge - Other space,Other,,,,Mid-water,,,,Fishing vessel - Trawler,PORTUGAL - Zona Franca da Madeira,PORTUGAL - Zona Franca da Madeira,,Deviation due to electrical problems; explosion; fire - Electrical problem - leading to direct contact,Accid. not rel. to ship oper.,,32.643033333333335,-16.904583333333335,32.643033333333335,-16.904583333333335,Madeira
2017-04-19,Territorial sea,Portugal,Portugal - GAMA,1810/2017,Less Serious,37°3.36' N,8°48.57' W,No,05:00,0.0,1.0,,Not Investigated,Yes,Portugal - Portimão,,,,,,Ship - Deck - Boat deck,Fishing - Shooting/hauling fishing gear,,,No routeing system,Mid-water,,,,Fishing vessel - Gillnetter,PORTUGAL - Portimao,PORTUGAL - Portimao,,Body movement without any physical stress (generally leading to an external injury) - Being caught or carried away; by something or by momentum,Accident,,37.01951105008814,-8.808969014185845,37.056,-8.8095,Continente
2017-07-04,Territorial sea,Portugal,Portugal - GAMA,2905/2017,Less Serious,41°41.33' N,8°49.18' W,No,23:30,0.0,1.0,,Not Investigated,Yes,Portugal - Viana do Castelo,,,,,,Ship - Deck - Boat deck,Normal service - In passage - Transitional mode,,,No routeing system,Arrival,,,,Fishing vessel - Gillnetter,PORTUGAL - Viana do Castelo,PORTUGAL - Viana do Castelo,,Body movement without any physical stress (generally leading to an external injury) - Uncoordinated movements; spurious or untimely actions,Accident,,41.68481615810437,-8.868193889376448,41.688833333333335,-8.819666666666667,Continente
